天	天空|白天|今天	今天的天空很蓝。
教	教师|教室|教会	老师教会我正确握笔。
迁	搬迁|迁移|变迁	候鸟会随季节迁移。
贵	珍贵|宝贵|贵重	时间是很宝贵的。
专	专心|专业|专门	读书时我要保持专心。
幼	幼儿|幼小|幼苗	幼小的树苗需要保护。
玉	玉米|白玉|玉石	锅里煮着香甜的玉米。
器	机器|电器|乐器	钢琴是一种乐器。
义	意义|正义|义务	帮助别人是一件有意义的事。
饭	米饭|吃饭|晚饭	晚饭后我们一起散步。
能	能够|能力|能干	我能够自己整理玩具。
饱	吃饱|饱满|温饱	我吃饱后把碗送回厨房。
茶	茶叶|喝茶|花茶	爷爷泡了一壶热茶。
泡	泡泡|浸泡|水泡	肥皂泡泡在阳光下闪亮。
轻	轻轻|轻快|年轻	我轻轻关上房门。
鞭	鞭炮|皮鞭|教鞭	过年时远处传来鞭炮声。
炮	鞭炮|礼炮|大炮	庆典上响起了礼炮。
首	首先|一首|首都	我们一起唱一首儿歌。
踪	踪迹|失踪|跟踪	雪地上留下小鹿的踪迹。
迹	足迹|痕迹|奇迹	沙滩上有一串小脚的足迹。
浮	漂浮|浮力|浮上来	小船漂浮在水面上。
萍	浮萍|绿萍|水萍	池塘里的浮萍绿绿的。
泉	泉水|喷泉|温泉	清清的泉水从石缝流出。
流	流水|河流|流动	河水不停地向前流。
爱	爱心|可爱|爱护	我们要爱护小动物。
柔	温柔|柔软|柔和	小猫的毛柔软又温暖。
荷	荷花|荷叶|荷包	青蛙跳到圆圆的荷叶上。
露	露珠|露水|晨露	清晨叶子上挂着露珠。
角	牛角|角落|三角	小猫躲在房间的角落里。
珠	水珠|珍珠|眼珠	一颗水珠从叶尖滑落。
摇	摇头|摇晃|摇篮	小树在风中轻轻摇晃。
躺	躺下|平躺|躺椅	小猫躺在阳光下睡觉。
晶	亮晶晶|水晶|晶莹	露珠在阳光下亮晶晶。
停	停止|停车|停下	红灯亮了，汽车停下。
机	飞机|机器|机会	一架飞机飞过天空。
展	展开|展览|发展	孔雀展开美丽的尾巴。
透	透明|透过|看透	阳光透过窗户照进来。
翅	翅膀|展翅|鱼翅	小鸟展开翅膀飞向天空。
膀	翅膀|肩膀|臂膀	爸爸的肩膀宽宽的。
唱	唱歌|合唱|演唱	我们一起唱一首儿歌。
朵	花朵|云朵|一朵	我送给妈妈一朵花。
腰	弯腰|腰带|山腰	我弯腰捡起地上的纸。
坡	山坡|坡道|上坡	小羊在山坡上吃草。
沉	下沉|沉重|沉入	小石头慢慢沉到水底。
伸	伸手|伸展|伸长	我伸手接住了皮球。
潮	潮水|涨潮|潮湿	潮水轻轻漫上沙滩。
湿	湿润|潮湿|淋湿	下雨后地面变湿了。
呢	你呢|在哪呢|好着呢	我喜欢蓝色，你呢？
闷	闷热|闷声|闷头	下雨前的空气有些闷热。
消	消息|消失|消灭	彩虹慢慢消失在天空。
息	休息|消息|气息	跑累了我们坐下休息。
搬	搬家|搬动|搬运	小蚂蚁一起搬运食物。
响	响声|响亮|音响	钟声响亮地传来。
具	玩具|工具|文具	玩完玩具要放回原处。
次	一次|下次|次数	我第一次学会了跳绳。
丢	丢失|丢下|丢脸	垃圾不能随手丢在地上。
哪	哪里|哪个|哪些	你的水杯放在哪里？
新	新年|新书|新鲜	我收到了一本新书。
每	每天|每次|每人	我每天早晚都刷牙。
平	平安|平地|公平	我们平安地回到了家。
她	她们|她的|她家	她在认真地画小猫。
些	一些|这些|那些	桌上有一些彩色积木。
仔	仔细看|仔细听|仔细想	我仔细检查了自己的作业。
检	检查|体检|检验	医生为我检查眼睛。
查	检查|查找|查看	我查找到了需要的图片。
所	所以|所有|厕所	所有小朋友都到齐了。
钟	时钟|闹钟|分钟	闹钟一响我就起床。
丁	园丁|丁香|丁字	园丁正在给花儿浇水。
元	元旦|一元|单元	元旦我们一起迎接新年。
迟	迟到|推迟|迟早	上学不要迟到。
洗	洗手|洗脸|清洗	饭前我们认真洗手。
背	背包|背起|背着	我把小背包背在肩上。
刚	刚才|刚好|刚刚	刚才有只蝴蝶飞过。
共	共同|一共|公共	盒子里一共有五支笔。
汽	汽车|汽水|水汽	雨后空气里有许多水汽。
决	决定|决心|解决	我决定每天读一本绘本。
定	一定|决定|安定	我一定会把事情做好。
已	已经|早已|已经完成	我已经收拾好书包了。
经	已经|经过|经常	我经常帮家人做小事。
物	动物|植物|礼物	动物园里有许多动物。
虎	老虎|虎牙|壁虎	老虎在树林里慢慢走。
熊	熊猫|小熊|狗熊	熊猫坐着吃竹子。
通	通过|交通|普通	绿灯亮了我们才能通过。
意	意思|注意|愿意	我愿意和朋友分享。
遍	一遍|遍地|走遍	这首儿歌我又读了一遍。
百	一百|百万|百花	春天百花开放。
舌	舌头|口舌|火舌	小狗热得伸出舌头。
鬼	鬼脸|小鬼|鬼怪	弟弟做了一个调皮的鬼脸。
脸	笑脸|洗脸|脸蛋	早上起床后我要洗脸。
准	准备|准确|标准	我准备好以后再出发。
第	第一|第二|次第	我第一个完成了拼图。
猴	猴子|小猴|猕猴	小猴在树枝间跳来跳去。
结	结果|结束|打结	游戏结束后大家收拾场地。
掰	掰开|掰手腕|掰玉米	我把橘子轻轻掰开。
扛	扛起|肩扛|扛东西	叔叔把木头扛在肩上。
满	满足|装满|圆满	篮子里装满了苹果。
扔	扔掉|扔球|乱扔	我把纸团扔进垃圾桶。
摘	采摘|摘花|摘下	我从树上摘下一个苹果。
捧	捧起|捧花|捧着	我双手捧着一杯水。
瓜	西瓜|黄瓜|南瓜	夏天的西瓜又甜又多汁。
抱	拥抱|抱起|怀抱	我给妈妈一个大大的拥抱。
蹦	蹦跳|蹦床|蹦起来	小兔在草地上蹦蹦跳跳。
追	追赶|追上|追问	小狗追着皮球向前跑。
棉	棉花|棉衣|棉被	冬天我盖着暖和的棉被。
娘	姑娘|娘家|新娘	小姑娘在花园里跳舞。
治	治病|治理|医治	医生帮助病人治病。
燕	燕子|海燕|燕窝	燕子在屋檐下筑巢。
别	别人|告别|分别	不要随便拿别人的东西。
干	干净|饼干|干燥	我把小手洗得很干净。
然	然后|突然|自然	洗完手，然后我们吃饭。
奇	奇怪|好奇|神奇	我好奇地观察小蚂蚁。
颗	一颗|颗粒|两颗	夜空中有一颗明亮的星。
瓢	水瓢|瓢虫|瓢泼	七星瓢虫停在叶子上。
碧	碧绿|碧蓝|碧玉	湖水碧绿又清澈。
吐	吐出|谈吐|吞吐	小鱼吐出一串泡泡。
啦	好啦|来啦|走啦	妈妈，我回来啦！
咕	咕咚|咕噜|咕咕叫	小鸽子咕咕叫。
咚	咕咚|叮咚|咚咚响	门铃发出叮咚的声音。
熟	熟悉|成熟|煮熟	苹果成熟后变红了。
掉	掉下|丢掉|忘掉	一片叶子从树上掉下来。
吓	吓人|惊吓|吓一跳	突然的响声让我吓了一跳。
羊	小羊|山羊|羊群	小羊在草地上吃草。
鹿	小鹿|梅花鹿|鹿角	小鹿在树林里奔跑。
逃	逃跑|逃走|逃离	小兔看见危险赶快逃跑。
命	生命|命令|救命	每个生命都值得爱护。
象	大象|象牙|气象	大象用长鼻子吸水。
野	田野|野外|野花	春天的田野开满野花。
拦	拦住|阻拦|拦网	红灯把汽车拦住了。
领	带领|衣领|领队	老师带领我们参观博物馆。
壁	墙壁|壁画|壁虎	一只壁虎趴在墙上。
墙	墙壁|围墙|城墙	爬山虎长满了墙壁。
蚊	蚊子|蚊虫|蚊香	夏天要小心蚊子叮咬。
咬	咬住|咬牙|叮咬	小狗轻轻咬住玩具。
断	断开|判断|不断	风筝线突然断开了。
您	您好|您家|谢谢您	老师，您好！
拨	拨开|拨号|挑拨	我拨开树叶看见一朵花。
甩	甩手|甩开|甩动	小狗开心地甩着尾巴。
赶	赶快|追赶|赶上	快下雨了，我们赶快回家。
房	房子|房间|厨房	我的房间收拾得很整齐。
傻	傻笑|装傻|傻乎乎	弟弟听完笑话一直傻笑。
转	转弯|转动|旋转	风车在风中不停转动。
棍	木棍|棍子|冰棍	我用木棍在沙地上画线。
汤	鸡汤|喝汤|菜汤	妈妈煮了一碗热汤。
扇	扇子|折扇|电扇	奶奶拿着扇子轻轻摇。
椅	椅子|桌椅|长椅	我把椅子轻轻推回桌下。
萤	萤火虫|流萤|萤光	萤火虫在夜里发出微光。
牵	牵手|牵牛花|牵挂	过马路时我牵着妈妈的手。
织	织布|编织|织毛衣	奶奶正在编织一条围巾。
斗	北斗星|漏斗|斗笠	北斗星在夜空中闪亮。
吵	吵闹|争吵|吵醒	请小声一点，别吵醒宝宝。
胖	发胖|胖乎乎|胖嘟嘟	小熊长得胖乎乎的。
岁	岁数|岁月|五岁	我今年五岁了。
现	现在|发现|出现	我发现草丛里有一只蜗牛。
票	车票|门票|邮票	爸爸把车票收进钱包。
交	交通|交给|交朋友	过马路要遵守交通规则。
弓	弓箭|弹弓|弓形	彩虹像一把弯弯的弓。
甘	甘甜|甘心|甘蔗	甘蔗汁喝起来很甜。
卫	卫生|保卫|卫星	饭前洗手能保持卫生。
刷	刷牙|刷子|刷新	我每天早晚认真刷牙。
梳	梳头|梳子|木梳	妈妈用梳子帮我梳头。
巾	毛巾|围巾|纸巾	洗完脸要用毛巾擦干。
擦	擦手|擦桌|摩擦	我用抹布把桌子擦干净。
皂	肥皂|香皂|皂角	洗手时要用肥皂。
澡	洗澡|澡盆|澡堂	运动后我洗了一个热水澡。
盆	脸盆|花盆|水盆	花盆里长出一棵嫩芽。
